author,link,category,publication,tokens,words,types,links,uppercase,verbs,subjuntiveimperative,nouns,adjectives,adverbs,modalverbs,personalpronouns,pluralpersonalpronouns,pronouns,pausality,characters,sentencelength,wordlength,speelingerrors,emotiveness,diversity,fake_or_true
mrk,https://ceticismopolitico.com/2017/11/30/katia-abreu-diz-que-vai-colocar-sua-expulsao-em-uma-moldura-mas-nao-para-de-reclamar/,politica,2017-11-30,211,185,120,0,6,30,1,46,7,13,5,2,0,26,2.0,815,14.2308,4.40541,0.0,0.263158,0.648649,0
Naira Trindade,http://politica.estadao.com.br/blogs/coluna-do-estadao/podemos-expulsa-gaguim-e-abre-espaco-para-katia-abreu/,politica,13/12/2017,168,148,107,None,0,24,2,43,5,4,3,0,0,7,3.33333,761,24.6667,5.14189,0.0,0.134328,0.722973,1
None,https://ceticismopolitico.com/2017/11/28/blog-esquerdista-da-a-entender-que-reclamar-de-dedada-no-futebol-e-sinal-de-homofobia/,sociedade_cotidiano,2017-11-28,356,300,187,0,2,62,1,75,13,25,7,0,0,30,3.29412,1321,17.6471,4.40333,0.0133333,0.277372,0.623333,0
Estadão Conteúdo,"http://esportes.estadao.com.br/noticias/futebol,zico-critica-montagem-do-elenco-no-flamengo-e-uma-equipe-supervalorizada,70002131447",sociedade_cotidiano,26/12/2017,349,294,182,None,3,60,1,72,19,24,4,0,0,29,2.75,1477,14.7,5.02381,0.0,0.325758,0.619048,1
None,https://ceticismopolitico.com/2017/11/28/alckmin-diz-que-por-ele-psdb-desembarca-mas-nao-explica-se-utilizara-o-aparelho-do-filme-mib/,politica,2017-11-28,274,224,150,0,8,39,3,64,9,18,5,1,0,14,3.57143,1075,16.0,4.79911,0.0,0.262136,0.669643,0
Juliana Diógenes,"http://politica.estadao.com.br/noticias/geral,alckmin-diz-que-previa-nao-divide-previa-escolhe,70002131259",politica,26/12/2017,249,204,128,None,0,38,1,62,10,6,4,3,0,8,3.0,1019,13.6,4.9951,0.0147059,0.16,0.627451,1
None,https://ceticismopolitico.com/2017/11/28/cara-de-pau-nao-tem-limites-ze-celso-aciona-mp-contra-silvio-santos/,politica,2017-11-28,319,291,185,0,3,42,0,84,12,11,5,0,0,23,2.33333,1341,24.25,4.60825,0.00343643,0.18254,0.635739,0
Mônica Bergamo,http://www1.folha.uol.com.br/colunas/monicabergamo/2018/01/1949525-doria-vai-receber-ze-celso-apos-reuniao-com-representante-de-silvio-santos.shtml,politica,11/1/2018,170,147,102,None,2,22,1,50,1,4,3,0,0,7,2.875,700,18.375,4.7619,0.0,0.0694444,0.693878,1
None,https://ceticismopolitico.com/2017/11/27/temer-resolve-o-problema-de-luislinda-liberdade-ainda-que-tardia/,politica,2017-11-27,162,133,96,0,2,20,0,36,9,8,1,0,0,12,2.63636,654,12.0909,4.91729,0.0,0.303571,0.721804,0
Luiz Vassallo E Breno Pires,http://politica.estadao.com.br/blogs/fausto-macedo/laranja-de-geddel-trabalhou-na-campanha-de-aecio/,politica,28/12/2017,389,341,181,None,12,53,2,101,10,7,10,0,0,14,2.66667,1587,18.9444,4.65396,0.00879765,0.11039,0.530792,1
None,https://ceticismopolitico.com/2017/11/27/moro-esta-certo-ao-nao-se-arrepender-de-divulgacao-de-audios-de-lula-e-dilma/,politica,2017-11-27,223,193,129,0,0,34,1,49,11,10,2,3,0,23,2.14286,892,13.7857,4.62176,0.0,0.253012,0.668394,0
Liz Batista,"http://acervo.estadao.com.br/noticias/acervo,projeto-de-repatriacao-de-recursos-proposto-por-delcidio-foi-atacado-por-moro-em-2010,11769,0.htm",politica,25/11/2015,315,283,185,None,4,45,2,87,12,11,7,0,0,11,2.90909,1407,25.7273,4.97173,0.0106007,0.174242,0.65371,1
None,https://ceticismopolitico.com/2017/11/27/mp-pede-proibicao-de-filmagens-no-mam-e-acaba-praticando-atentado-contra-a-humanidade/,sociedade_cotidiano,2017-11-27,224,202,134,0,6,35,3,58,9,3,7,0,0,14,1.69231,963,15.5385,4.76733,0.0,0.129032,0.663366,0
G1 MA,https://g1.globo.com/ma/maranhao/noticia/ministerio-publico-pede-condenacao-de-domingos-dutra-por-improbidade-administrativa.ghtml,sociedade_cotidiano,27/11/2017,502,459,239,None,12,49,7,147,16,8,10,0,0,9,2.86667,2255,30.6,4.91285,0.00653595,0.122449,0.520697,1
None,https://ceticismopolitico.com/2017/11/25/hoje-completou-um-ano-da-morte-de-um-dos-psicopatas-mais-repulsivos-da-era-atual-fidel-castro/,politica,2017-11-25,217,184,125,0,1,25,1,45,10,22,4,0,0,10,2.0625,797,11.5,4.33152,0.0,0.457143,0.679348,0
Reuters,https://g1.globo.com/mundo/noticia/cuba-presta-homenagem-a-fidel-em-primeiro-aniversario-de-sua-morte-e-contempla-futuro.ghtml,politica,24/11/2017,482,441,265,None,0,52,1,129,28,15,5,0,0,33,2.41176,2132,25.9412,4.83447,0.0,0.237569,0.600907,1
None,https://ceticismopolitico.com/2017/11/25/palocci-vai-contar-que-lula-pagou-propina-a-ex-presidente-do-peru/,politica,2017-11-25,110,101,68,0,0,18,1,30,3,4,6,0,0,2,1.8,460,20.2,4.55446,0.0,0.145833,0.673267,0
"Bruno Albernaz,",https://g1.globo.com/rj/rio-de-janeiro/noticia/doleiros-suspeitos-de-lavar-dinheiro-em-esquema-de-sergio-cabral-chegam-ao-rio.ghtml,politica,28/12/2017,264,234,147,None,2,34,0,73,5,4,3,0,0,5,2.72727,1146,21.2727,4.89744,0.0,0.0841122,0.628205,1
None,https://ceticismopolitico.com/2017/11/24/dr-ray-peita-bolsonaro-chama-o-de-conservador-fake-em-entrevista-a-danilo-gentili-e-divide-a-direita/,politica,2017-11-24,289,254,163,0,0,56,8,64,11,18,11,1,0,20,2.5,1205,18.1429,4.74409,0.00787402,0.241667,0.641732,0
Marco Rodrigo Almeida,http://www1.folha.uol.com.br/poder/2018/01/1949909-bolsonaro-e-um-liberal-completo-diz-presidente-do-psl.shtml,politica,12/1/2018,1028,865,474,None,9,135,2,237,56,45,14,3,1,63,2.85965,4205,15.1754,4.86127,0.00115607,0.271505,0.547977,1
None,https://ceticismopolitico.com/2017/11/24/garotinho-ganha-premio-apos-teatro-sobre-surra-na-cadeia-vai-para-presidio-de-seguranca-maxima/,politica,2017-11-24,209,185,102,0,0,31,2,55,7,6,4,0,0,9,2.0,892,15.4167,4.82162,0.00540541,0.151163,0.551351,0
