fake_or_true,news
0,"Kátia Abreu diz que vai colocar sua expulsão em uma moldura, mas não para de reclamar.	

A senadora Kátia Abreu (sem partido-TO) disse que sua expulsão do PMDB foi resultado de uma ação da cúpula atual da legenda que, segundo ela, é oportunista.

“Amanhã eu vou botar numa moldura dourada a minha expulsão, porque das mãos de onde veio, é um atestado de boa conduta para o meu currículo. Essas pessoas que me expulsaram não servem ao país. Eles se servem do país em seus benefícios próprios”, disse Kátia Abreu.

Ué, mas se a expulsão é algo tão bom para seu currículo, por que tanta choradeira, Kátia?

Sabemos o motivo. Provavelmente Kátia não tem valor para o PT, partido que já deveria tê-la absorvido. Ao que parece o PT gostava de Kátia somente se ela ficasse entrincheirada dentro do PMDB.

Ou seja, isso é se rebaixar demais. Resta a Kátia ficar chorando as pitangas por todos os cantos.

Em tempo: até o momento o PT não cadastrou Kátia Abreu em suas fileiras. Que situação patética para a ex-ministra da Agricultura de Dilma."
1,"﻿O Podemos decidiu  expulsar o deputado federal Carlos Gaguim do partido após a Polícia Federal fazer buscas a apreensões no gabinete dele na Câmara. Com isso, a legenda abre espaço para receber a senadora expulsa pelo PMDB, Katia Abreu. Por meio de nota, a legenda informou que o afastamento do parlamentar já era algo acordado entre os filiados da sigla.  “Ainda que o parlamentar tenha comunicado a conclusão de sua desfiliação para esta semana, diante dos fatos noticiados hoje, a Executiva Nacional do Podemos solicita o imediato cancelamento de sua filiação dos quadros do partido”.

O partido, que no passado chegou a cogitar lançar o parlamentar como candidato ao Senado, diz que “apoia a investigação com a ampla apuração dos eventuais crimes cometidos e a consequente responsabilização dos envolvidos, para que todos sejam punidos com o máximo rigor da Lei, independentemente de posição ou cargo ocupado”. "
0,"Blog esquerdista dá a entender que reclamar de dedada no futebol é sinal de homofobia.

Um texto de Jorge Gauthier, para o blog Me Salte, do jornal Correio 24 Horas, acha que o pessoal está reclamando demais das dedadas que o zagueiro Rodrigo, da Ponte Preta, deu no atacante Tréllez, do Vitória, em jogo no qual o time paulista perdeu. O lance ocorreu aos 19 minutos do primeiro tempo, quando a Ponte Preta vencia o jogo por 2×0. Rodrigo foi expulso após introduzir duas vezes seu dedo médio entre as nádegas do jogador do Vitória.

Gauthier diz estar espantado com o medo que, especialmente os heteros, estão tendo em abordar o assunto.

Ele segue: O que acho interessante é que muitos sequer conseguem falar a palavra bunda. A heterossexualidade é tão frágil em alguns que sequer eles conseguem dizer que o jogador botou o dedo na bunda do outro. Gente, falar BUNDA não dói! Pelo que vi do vídeo até o Tréllez, que recebeu as dedadas, não deve ter sentido dor. Melhor do que isso: depois da dedada Tréllez fez foi dois gols que garantiram o triunfo do Vitória.

Falar não vai fazer você ser menos hetero ou, como outro ser (sem) luz disse: botar o dedo no lá ele não pode senão pode gostar. Criatura, não tenha medo da sua sexualidade. Apenas viva sua vida, afirma o blogueiro.

Para o blogueiro a repulsa à decada corrobora com o machismo no futebol. A necessidade masculina de colocar o futebol como algo apenas hetero é irritante e desnecessária, afirma.

Até entendemos a argumentação do blogueiro  que diz que não são apenas os gays que dão dedadas. Porém, o que falamos é o caso da dedada de um homem em outro, e não entre pessoas de sexos opostos.

É cada uma"
1,"Em evento realizado nesta terça-feira para divulgar o Jogo das Estrelas, um amistoso beneficente que será realizado nesta quarta, no estádio do Maracanã, no Rio de Janeiro, Zico foi questionado sobre o ano do Flamengo. E o ídolo do clube não poupou críticas à montagem do elenco.

""Minha visão é que alguns investimentos que foram feito não surtiram efeito dentro do campo. Acho que é uma equipe supervalorizada, falei isso muito tempo antes"", reclamou. ""Não é fácil você trazer muita gente, ainda mais no meio de competição, com mudanças constantes, lesões. A coisa não funcionou"".

Na avaliação de Zico, faltou um trabalho melhor de avaliação dos jogadores contratados, especialmente os que vieram do futebol exterior. ""O futebol é isso mesmo, precisa seguir em frente e analisar quando vocês faz os investimentos, principalmente quando você vai atrás de jogadores que estão no exterior. É preciso saber como eles estão, o rendimento, questões de saúde"", alertou. ""E infelizmente não foi isso que aconteceu com alguns jogadores que o Flamengo investiu"".

Zico avaliou também que a diretoria precisa se preocupar em trazer jogadores identificados com o clube. Na reta final da temporada, muito se criticou a suposta falta de garra de alguns atletas. ""Precisa saber também o que representa a camisa do Flamengo, a história do clube"", disse. ""É preciso ser bem entendido que o Flamengo é um clube muito diferente dos outros"".

O resultado, assim, segundo ele, é que o ano termina de maneira frustrante ao torcedor. ""É lógico que o objetivo principal era ter uma boa atuação na Libertadores, o que não aconteceu. Consequentemente conseguiu chegar na Sul-Americana, chegou a duas finais. Lógico que pelo investimento era esperado que isto acontecesse. Mas ficou um gostinho amargo de não ter conquistado uma competição internacional""."
0,"Alckmin diz que por ele PSDB desembarca, mas não explica se utilizará o aparelho do filme MIB.

O governador de São Paulo, Geraldo Alckmin, assegurou nesta terça (28) que, se assumir a presidência do PSDB, como previsto, o partido desembarca do governo Michel Temer.

Eu acho que não tem nenhuma razão o continuar no governo. Já não é de hoje que penso assim. Mas as reformas vão continuar, acrescentou, em entrevista ao jornalista José Luiz Datena, na Rádio Bandeirantes.

Ele já foi escolhido para ser presidente nacional do PSDB após uma aliança tucana que busca mitigar o clima de caos absoluto no partido. Nomes como Marconi Perillo (GO) e o senador Tasso Jereissati (CE) já desistiram da presidência. O prefeito de Manaus, Arthur Virgílio, no entanto, não gostou do acordo.

A atitude de desembarque de Alckmin tem a típica mania recente tucana de apelar ao pior tipo de oportunismo.

Porém, como Alckmin fará para que as pessoas esquecem que o partido foi aliado do governo atual por tantos meses? Aliás, não fosse a parceria com o PSDB, dificilmente Dilma teria caído. Goste Alckmin ou não, eles estão anexados.

A não ser que ele tenha providenciado aquela mesma tecnologia utilizada na série de filmes MIB (Men In Black), que permitia aos agentes apagarem a memória das pessoas. Caso contrário, o desembarque não diminuirá o desgaste.

"
1,"﻿Após o prefeito de Manaus Arthur Virgílio (PSDB) ter enviado uma carta cobrando prévias no partido para definir o candidato à Presidência da República, o governador de São Paulo e presidente do partido Geraldo Alckmin negou um ""racha"" na legenda. Alckmin disse nesta terça-feira, 26, que ""prévia não divide, prévia escolhe"". Os dois postulam ao cargo de candidato a presidente em 2018.

""Prévia não divide, prévia escolhe. Você pode escolher em um ambiente mais restrito e você pode escolher em um universo maior. Quanto mais você amplia e escuta, menos você erra, mais você acerta"", disse. ""As democracias, os partidos, não podem ser cartório. Eles precisam dar exemplo de vida democrática.""

Questionado sobre possível desunião entre tucanos, Alckmin minimizou. ""Olha, eu me lembro de uma matéria da imprensa sobre a prévia na capital. Chama tucanocídio político. O resultado do tucanocídio foi vitória no primeiro turno"", afirmou o governador, em referência à vitória de João Doria (PSDB) à Prefeitura de São Paulo no ano passado. 

No dia 11, Arthur Virgílio escreveu uma carta pedindo que Alckmin acabe com o ""disse-me-disse"" sobre prévias. Questionado sobre as críticas de Virgílio nesta terça, o governador disse somente que tem ""grande apreço"" pelo colega de partido."
0,"Cara de pau não tem limites: Zé Celso aciona MP contra Silvio Santos.

O Teatro Oficina procurou o Ministério Público Federal (MPF) nesta terça-feira na tentativa de violar os direitos de Silvio Santos, que deseja erguer três torres residenciais de cem metros de altura cada uma. As informações são da Veja.

O empresário é dono dos terrenos em volta do teatro e executa seu direito de propriedade, negando-se a trocá-los por outros, oferta feita a ele pelo Ministério do Planejamento.

O grupo teatral, que fez sua sede no local há cerca de sessenta anos e ocupa um prédio que leva a assinatura de Lina Bo Bardi (a mesma do Masp e do Sesc Pompeia), alega danos ao projeto da arquiteta, que prevê a contracenação com o bairro do Bexiga e a cidade através do janelão aberto em uma das paredes do edifício e inclui ainda um parque cultural, que ela não chegou a fazer por ter morrido antes de concluir a proposta.

A procura pelo Ministério Público Federal é uma nova estratégia de desrespeito à propriedade privada feita pelo grupo teatral, depois que Silvio Santos deixou de aceitar as provocações e rompeu o diálogo com a companhia.

Em outubro, Silvio Santos reverteu decisão ainda de 2016 do Condephaat, o órgão estadual de proteção ao patrimônio público, que o impedia de construir em volta do Teatro Oficina. Agora, para levar seu projeto imobiliário adiante, busca o mesmo aval nos níveis municipal e federal.

É por isso que João Doria pisou na bola ao ter feito uma reunião no passado com Zé Celso e Silvio Santos. Com gente que não respeita a propriedade privada, não deve haver diálogo. Que Silvio Santos vá pra briga, pois tem seus direitos de proprietário."
1,"﻿Doria vai receber Zé Celso após reunião com representante de Silvio Santos

O prefeito João Doria (PSDB) receberá o dramaturgo José Celso Martinez Corrêa e as arquitetas do Teatro Oficina no dia 29 para discutir o imbróglio das torres que Silvio Santos quer construir ao lado da sede da companhia. O vereador Eduardo Suplicy (PT), que pediu a reunião, e o maestro João Carlos Martins também devem comparecer. Doria recebeu na quinta-feira (4) representantes do Grupo Silvio Santos, o que gerou protestos do outro lado.

TÔ DENTRO
O maestro está entrando para valer na campanha em defesa do Oficina. Ele, que participou do processo de tombamento do teatro quando foi secretário da Cultura do Estado, afirma que está ""200% dentro"" da causa porque considera Zé Celso ""um herói"". Martins fará um concerto no local no dia 25, em apoio ao movimento.
"
0,"Temer resolve o problema de Luislinda: liberdade, ainda que tardia.

A ministra dos Direitos Humanos Luislinda Valois entrou para a galeria dos sem noção ao pedir para acumular o salário da função de ministra com a aposentadoria de desembargadora, o que daria R$ 61 mil, muito além do teto constitucional. Ao fazê-lo, alegou que sua condição, sem sombra de dúvida, se assemelha a trabalho escravo.

Agora o jornal carioca O Dia divulga que Temer decidiu demitir Luislinda e dar um fim ao seu problema. Ao que parece, o presidente ainda busca uma saída honrosa para Luislinda. Talvez outro cargo. Não sabemos ainda.

Sua substituta deve ser a deputada federal licenciada Tia Eron (PRB), atual secretária municipal de Promoção Social.

O que importa é que Luislinda, enfim, conseguiu sua liberdade. Ainda que tardia."
1,"Gustavo Pedreira Ferraz, que admitiu buscar malas de dinheiro para Geddel Vieira Lima, afirmou à PF ter trabalhado na campanha Presidencial de 2014 para o então candidato Aécio Neves (PSDB). Ex-diretor da Defesa Civil de Salvador, Bahia, ele resolveu colaborar com investigações sobre o bunker dos R$ 51 milhões. As digitais de Ferraz foram encontradas nas cédulas de R$ 50 e R$ 100 que rechearam as malas e caixas de dinheiro encontradas na maior apreensão da história da PF. Por meio de sua assessoria, o senador nega que Gustavo tenha trabalhado em sua campanha.
Conselheiro de ética do PMDB na Bahia, Ferraz admitiu que, em 2012, buscou uma mala de dinheiro para em um hotel em São Paulo para o ex-ministro. Ele afirma que ainda voltou a Salvador em voo fretado e foi levado por um motorista do PMDB até a casa de Geddel, aonde o dinheiro da mala foi contado. Ferraz se diz traído já que esperava que o ex-ministro repassasse o montante para as campanhas de candidatos baianos às Prefeituras e, na verdade, foram parar no bunker.
Ele afirma à PF que também colaborou para a campanha de Geddel ao governo estadual, em 2010. À época das eleições de 2012, ele alega ter sido assessor de bancada do PMDB na Assembleia Legislativa do Estado da Bahia.
Ferraz assumiu em 2013, a superintendência da Indústria e Comércio de Salvador, função que exerceu até o fim de 2014.
Naquele ano, ele diz ter feito campanha política para Geddel, então candidato ao Senado, Paulo Souto, candidato ao Governo do Estado da Bahia, e Aécio Neves, candidato a Presidente.
Ferraz foi preso na Operação Tesouro Perdido, após serem encontradas suas digitais nas notas do bunker dos R$ 51 milhões. Ele pagou fiança para deixar a cadeia. O valor, estipulado pelo Supremo, foi de 50 salários mínimos.
COM A PALAVRA, AÉCIO NEVES
“O sr Gustavo Ferraz não trabalhou na campanha presidencial do PSDB em 2014”.
COM A PALAVRA, SOUTO
A reportagem não localizou Paulo Souto. O espaço está aberto para manifestação."
